RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024
395121,21,"St. Louis, MO",msa,MO,177038.43,178162.74,179378.31,180405.46,180949.27,181259.93,181832.63,183175.33,185430.56,188063.40,190831.96,193212.50,195270.56,197395.15,199787.58,202448.40,205219.25,207869.06,209602.07,210146.30,209766.82,209647.48,210191.65,211289.26,213454.92,216519.42,220322.43,223943.16,226866.05,229404.56,230714.90,230842.80,229932.90,229276.94,229000.31,229046.92,228871.89,228954.45,229574.01,231184.86,233352.26,235694.75,237574.19,239105.75,240087.00,240707.77,241016.34,241215.15,241471.97,242214.40
394943,22,"Orlando, FL",msa,FL,253310.79,255024.48,256660.72,257922.94,258544.74,258885.08,259453.68,260935.84,263206.69,265875.39,268874.43,271772.96,274809.39,277905.09,281314.57,285045.97,289452.21,294818.63,299959.58,304502.72,308144.68,312265.07,317164.94,322722.33,329710.09,337802.14,347123.37,356802.46,365987.42,374234.03,379975.70,383047.75,383664.51,383289.10,382626.99,381628.42,380259.77,379062.31,378690.38,379057.80,380114.28,381644.00,383423.64,385171.34,386541.92,387706.48,388710.53,389670.89,390577.43,391705.27
394458,23,"Charlotte, NC",msa,NC,237967.82,239555.96,241303.37,242906.22,243979.36,244837.68,246081.71,248326.07,251639.47,255590.46,259962.26,264357.87,268642.80,273055.92,277659.92,282645.64,288119.21,294160.17,300080.66,305136.90,309391.78,313567.68,318439.08,323626.35,329778.47,336473.45,343984.11,351709.25,359014.41,365521.32,369522.37,370808.28,369673.49,368194.79,366673.67,364899.13,362460.74,360270.73,359088.17,359075.44,359868.49,361471.44,363420.60,365720.67,367715.03,369441.87,370805.39,371617.68,372243.97,373205.88
395055,24,"San Antonio, TX",msa,TX,210892.12,212011.49,212999.20,213630.23,213916.01,214205.11,214976.74,216299.05,218374.87,220870.06,223757.65,226470.30,229122.13,231860.82,234982.84,238399.53,242309.57,246541.70,250684.46,253999.75,256584.14,259022.61,262141.64,265696.74,270165.45,274947.80,280269.27,285616.72,290601.42,294820.94,297342.60,297941.59,297079.95,296001.51,295057.14,294271.56,293392.18,292181.99,290918.46,289882.31,289624.36,289950.30,290110.44,290070.54,289385.74,288340.17,287017.52,285520.22,284350.50,283642.07
394998,25,"Portland, OR",msa,OR,411363.36,414542.11,417854.47,420294.19,421150.92,420866.04,420727.05,422683.29,427102.27,433209.29,440278.71,447270.13,453986.42,461148.06,469148.75,477563.28,485760.82,492948.41,499135.53,503588.32,506825.94,509750.90,513296.79,517669.83,523767.47,531804.97,541646.84,551476.74,559446.90,563948.93,562927.01,557353.40,549724.30,544065.19,540128.42,536816.37,532733.60,529427.39,527652.75,527929.24,529707.16,532221.77,534693.92,536627.77,537755.14,538296.25,538172.15,537934.78,537872.22,538276.69
395045,26,"Sacramento, CA",msa,CA,431098.94,433487.22,436328.32,438711.42,439465.04,439097.52,438950.13,440854.28,445325.32,451695.90,459593.37,468016.61,476353.22,484890.04,493788.40,503797.37,514660.42,525321.14,534549.26,540564.97,544299.56,547049.10,551047.60,556225.14,564271.19,574266.25,586293.70,596855.58,604856.24,608842.21,608020.21,602291.04,593451.36,584984.09,577661.86,570689.21,562977.53,556730.27,553088.54,552428.83,553253.21,555486.50,558759.65,562469.96,565003.82,566471.02,567101.57,567432.55,567521.38,568279.05
394982,27,"Pittsburgh, PA",msa,PA,157095.70,158279.35,159506.21,160664.25,161199.51,161261.25,161447.49,162399.17,164518.03,167027.64,169889.32,172394.42,174613.61,176947.78,179382.64,181882.13,184213.13,186752.63,188569.02,189156.78,188078.84,186953.36,186289.90,186335.84,187648.61,190128.46,193393.50,195931.63,197445.66,198436.18,198418.77,197578.04,196085.57,195296.67,194954.56,194547.16,193752.01,192779.36,192484.68,192941.95,194295.06,195970.44,197665.86,199240.29,200481.94,201310.06,201699.05,201864.64,202030.84,202454.42
394466,28,"Cincinnati, OH",msa,OH,190247.69,191451.82,192838.14,194059.39,195004.86,195794.23,196934.50,198869.37,201657.88,204881.46,208316.87,211592.26,214580.97,217481.90,220443.24,223597.99,226881.58,230089.81,232293.78,233158.45,232977.71,233236.20,234269.43,235946.13,238652.53,242207.49,246285.98,250344.23,253829.93,256949.36,258450.03,258444.00,257337.91,256569.83,256551.75,256812.90,256717.88,256754.56,257511.63,259234.81,261722.11,264278.44,266560.40,268225.44,269261.55,269746.47,270010.37,270249.93,270794.99,271765.87
394355,29,"Austin, TX",msa,TX,320163.26,322823.85,325542.42,327764.38,329044.09,329828.50,331157.30,333959.86,338506.68,344030.11,350397.57,357024.51,364286.81,373058.26,385272.38,402380.81,423378.79,444131.16,459683.54,468588.38,472211.57,474608.45,477941.15,483160.51,492076.98,503796.04,518539.85,533056.63,545313.39,552553.51,551688.67,544119.21,532498.83,521766.56,512435.27,504123.21,496170.03,488910.12,483031.99,478739.39,476455.97,475462.41,474540.50,473106.28,470884.62,468236.79,465266.29,462293.16,459871.46,458178.76
394775,30,"Las Vegas, NV",msa,NV,292097.82,293558.09,295204.21,296419.25,296810.14,296705.61,296689.25,297653.11,299404.34,301711.86,304777.55,308289.83,311861.50,315507.72,319842.02,325068.60,331682.77,339549.54,347922.83,355520.05,361772.93,367352.76,373145.57,378773.77,385615.98,393801.67,404048.90,414794.20,424794.00,432975.92,437545.74,437774.24,433760.89,427976.85,421279.89,414910.20,408689.04,403574.53,399806.29,397626.42,396703.47,397168.21,398630.86,401109.36,403513.43,405730.61,407778.29,409829.96,411628.46,413484.56
394735,31,"Kansas City, MO",msa,MO,205833.50,207502.59,209349.72,210769.54,211473.19,211732.66,212397.45,214079.39,216951.68,220357.18,223949.02,227167.32,229942.53,232899.80,236477.75,240618.28,244867.94,248659.15,251332.08,252520.81,252551.07,252625.08,253483.83,255095.55,258123.62,262237.41,267375.08,272290.47,276463.41,279675.70,281163.76,281015.09,279733.16,278846.71,278664.05,278911.30,279025.73,279393.78,280308.51,282139.45,284362.22,286660.82,288566.99,290142.79,291294.61,292262.78,292777.56,293057.05,293319.71,294150.45
394492,32,"Columbus, OH",msa,OH,207794.24,209142.24,210754.70,212426.10,213678.97,214589.25,215587.19,217298.49,219955.82,223235.87,226862.40,230325.29,233535.07,236783.40,240360.39,244228.13,248197.14,251954.94,254537.70,255409.76,254996.93,254749.37,255503.07,257018.45,260358.95,265278.98,271316.24,277111.14,282007.45,286048.73,288250.34,288860.08,288287.66,287723.94,287305.22,286879.65,286099.54,285849.83,286310.85,287884.76,290066.72,292575.11,294951.53,297090.95,298778.05,299991.37,300717.05,301211.73,301887.18,302967.62
394705,34,"Indianapolis, IN",msa,IN,183111.28,184545.31,186102.20,187486.52,188560.25,189314.79,190180.22,191495.15,193645.65,196316.12,199571.23,202743.81,205801.78,208992.20,212642.88,216440.13,220257.72,224008.74,227330.56,229639.57,231043.66,232750.48,235151.89,238019.15,241751.55,246525.45,251838.95,256862.77,260808.24,264060.49,265545.76,265636.41,264642.96,263873.50,263523.36,263459.22,263213.79,263184.55,263314.13,264068.89,264993.83,266180.77,267147.85,268003.52,268571.20,268896.50,268907.81,268772.23,269138.46,270026.35
394475,35,"Cleveland, OH",msa,OH,153844.60,154807.59,155662.36,156194.16,156300.91,156328.49,156721.78,157902.62,159887.72,162401.83,165285.01,168148.37,170604.64,172853.30,175135.15,177633.52,180239.02,182833.85,184655.09,185278.65,184753.97,184270.67,184260.62,184766.12,186472.08,189130.88,192554.06,195841.90,198684.77,201244.51,202771.00,203340.64,202953.91,202574.45,202466.89,202471.74,202063.02,201891.72,202183.52,203408.50,205000.14,206834.69,208625.90,210377.60,211813.28,212959.12,213713.45,214422.75,214992.16,215913.36
395059,36,"San Jose, CA",msa,CA,1157670.78,1168313.67,1179564.55,1183898.75,1178212.46,1166091.32,1157961.26,1160777.58,1176127.68,1197740.47,1224226.95,1249496.65,1268324.97,1279893.01,1287654.05,1301208.95,1319875.26,1340816.41,1359429.41,1373410.18,1384753.92,1396000.56,1411348.71,1433383.02,1466875.47,1508878.46,1554274.40,1589685.21,1610331.33,1609971.52,1591394.79,1558518.35,,1495868.28,1481969.76,1477364.12,1467239.47,1449444.85,1428675.34,1417537.89,1417571.35,1427036.00,1446760.70,1472668.69,1500945.01,1525881.93,1545594.69,1558415.74,1558654.69,1554127.90
394902,37,"Nashville, TN",msa,TN,293644.09,295727.18,297813.44,299322.12,300003.56,300460.69,301156.02,302810.88,305607.87,309033.16,312866.31,316524.40,320122.42,324183.68,328679.94,333653.11,339370.92,346264.51,353658.65,359991.76,365104.55,370130.63,376367.34,383531.39,391968.57,401566.00,411875.28,422422.34,431721.07,439455.23,443620.13,444407.80,442303.27,439419.02,436276.79,433344.52,430356.50,428216.54,427064.78,427246.84,427951.79,429234.11,429956.64,430637.18,430975.65,431414.42,431675.61,431627.02,431695.72,432557.20
395194,38,"Virginia Beach, VA",msa,VA,247075.54,248473.43,249628.32,250504.29,250917.58,251265.24,251982.90,253703.40,256525.84,259879.68,263413.51,266662.28,269729.77,272796.28,275980.33,279373.30,282968.21,286477.15,289147.30,290701.86,291170.93,291872.10,293448.72,296048.76,299547.12,303128.41,306897.20,310474.88,313829.44,316668.55,318080.11,318205.49,317374.95,317156.68,317554.89,318473.00,319071.84,319966.02,321149.95,323175.77,325719.02,328473.77,330976.39,333128.67,334834.36,335923.78,336509.07,336938.90,337506.09,338748.58
